Date,Station,Line,Direction,Hour,Additional_Trips,Passenger_Demand,Current_Trips,Capacity_Per_Trip
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,7,12,1785,6,100.0
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,8,30,3543,6,100.0
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,9,15,2030,6,100.0
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,16,7,1574,9,100.0
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,17,20,2851,9,100.0
2024-09-05,Gayrettepe,M2,Yenikapı to Hacıosman,18,25,3393,9,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,7,8,1358,6,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,8,14,1856,5,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,9,3,1072,8,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,16,6,1386,8,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,17,14,2139,8,100.0
2024-09-05,Kozyatağı,M4,Kadıköy to Tavşantepe,18,22,3065,9,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,7,8,1358,6,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,8,14,1856,5,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,9,3,1072,8,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,16,6,1386,8,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,17,14,2139,8,100.0
2024-09-05,Kozyatağı,M4,Tavşantepe to Kadıköy,18,22,3065,9,100.0
2024-09-05,Kozyatağı,M8,Bostancı to Parseller,8,3,809,5,106.0
2024-09-05,Kozyatağı,M8,Bostancı to Parseller,17,4,1256,8,106.0
2024-09-05,Kozyatağı,M8,Bostancı to Parseller,18,8,1787,9,106.0
2024-09-05,Kozyatağı,M8,Parseller to Bostancı,8,3,809,5,106.0
2024-09-05,Kozyatağı,M8,Parseller to Bostancı,17,4,1256,8,106.0
2024-09-05,Kozyatağı,M8,Parseller to Bostancı,18,8,1787,9,106.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,7,12,2963,6,172.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,8,20,4349,6,172.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,9,9,2540,6,172.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,16,13,3670,9,172.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,17,28,6284,9,172.0
2024-09-05,Levent,M2,Hacıosman to Yenikapı,18,38,7939,9,172.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,7,24,2963,6,100.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,8,38,4349,6,100.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,9,20,2540,6,100.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,16,28,3670,9,100.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,17,54,6284,9,100.0
2024-09-05,Levent,M2,Yenikapı to Hacıosman,18,71,7939,9,100.0
2024-09-05,Mahmutbey,M3,Bakırköy Sahil to Kayaşehir Merkez,7,3,2747,6,340.0
2024-09-05,Mahmutbey,M3,Bakırköy Sahil to Kayaşehir Merkez,8,3,2549,5,340.0
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,7,22,2747,6,100.0
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,8,21,2549,5,100.0
2024-09-05,Mahmutbey,M3,Kayaşehir Merkez to Bakırköy Sahil,9,4,1183,8,100.0
