station_poi_desc_cd,line_name,transition_date,number_of_passenger
Bulgurlu,M5,2024-09-01,7355
Bulgurlu,M5,2024-09-04,13952
Bulgurlu,M5,2024-09-05,13962
Bulgurlu,M5,2024-09-06,14323
Bulgurlu,M5,2024-09-07,10914
Bulgurlu,M5,2024-09-08,7430
Bulgurlu,M5,2024-09-09,11653
CIRCIR,M7,2024-09-01,3040
CIRCIR,M7,2024-09-04,5830
CIRCIR,M7,2024-09-05,5943
CIRCIR,M7,2024-09-06,5949
CIRCIR,M7,2024-09-07,4626
CIRCIR,M7,2024-09-08,3231
CIRCIR,M7,2024-09-09,5314
Darüşşafaka,M2,2024-09-01,1818
Darüşşafaka,M2,2024-09-04,4015
Darüşşafaka,M2,2024-09-05,3891
Darüşşafaka,M2,2024-09-06,4313
Darüşşafaka,M2,2024-09-07,4016
Darüşşafaka,M2,2024-09-08,3340
Darüşşafaka,M2,2024-09-09,3275
Davutpaşa-YTÜ,M1,2024-09-01,2804
Davutpaşa-YTÜ,M1,2024-09-02,1
Davutpaşa-YTÜ,M1,2024-09-03,2
Davutpaşa-YTÜ,M1,2024-09-04,5758
Davutpaşa-YTÜ,M1,2024-09-05,6133
Davutpaşa-YTÜ,M1,2024-09-06,5841
Davutpaşa-YTÜ,M1,2024-09-07,4910
Davutpaşa-YTÜ,M1,2024-09-08,3460
Davutpaşa-YTÜ,M1,2024-09-09,4427
Doğu Sanayi,M9,2024-09-01,1157
Doğu Sanayi,M9,2024-09-04,2850
Doğu Sanayi,M9,2024-09-05,2934
Doğu Sanayi,M9,2024-09-06,3081
Doğu Sanayi,M9,2024-09-07,2545
Doğu Sanayi,M9,2024-09-08,1788
Doğu Sanayi,M9,2024-09-09,1587
Dudullu,M5,2024-09-01,9383
Dudullu,M5,2024-09-04,18163
Dudullu,M5,2024-09-05,18297
Dudullu,M5,2024-09-06,18447
Dudullu,M5,2024-09-07,14557
Dudullu,M5,2024-09-08,9891
Dudullu,M5,2024-09-09,10854
Dudullu,M8,2024-09-01,5983
Dudullu,M8,2024-09-04,12959
Dudullu,M8,2024-09-05,13131
Dudullu,M8,2024-09-06,13334
Dudullu,M8,2024-09-07,9826
Dudullu,M8,2024-09-08,6595
Dudullu,M8,2024-09-09,10345
Emin Ali Paşa,M8,2024-09-01,472
Emin Ali Paşa,M8,2024-09-04,1203
Emin Ali Paşa,M8,2024-09-05,1126
Emin Ali Paşa,M8,2024-09-06,1138
Emin Ali Paşa,M8,2024-09-07,878
Emin Ali Paşa,M8,2024-09-08,538
Emin Ali Paşa,M8,2024-09-09,807
Emniyet-Fatih,M1,2024-09-01,6884
Emniyet-Fatih,M1,2024-09-03,1
Emniyet-Fatih,M1,2024-09-04,15648
Emniyet-Fatih,M1,2024-09-05,15579
Emniyet-Fatih,M1,2024-09-06,15384
Emniyet-Fatih,M1,2024-09-07,10376
Emniyet-Fatih,M1,2024-09-08,7379
Emniyet-Fatih,M1,2024-09-09,8197
Esenkent,M4,2024-09-01,6811
Esenkent,M4,2024-09-03,1
