Line,transition_hour,Number_of_Trips,Direction,Day_Type,Peak_Hour_Indicator
M3,2,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,3,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,3,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,4,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,4,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,5,2,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,5,2,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,6,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,6,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,7,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,7,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,8,5,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,8,5,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,9,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,9,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,10,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,10,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,11,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,11,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,12,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,12,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,13,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,13,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,14,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,14,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,15,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,15,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,16,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,16,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,17,8,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,17,8,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,18,9,Bakırköy Sahil to Kayaşehir Merkez,Weekday,Yes
M3,18,9,Kayaşehir Merkez to Bakırköy Sahil,Weekday,Yes
M3,19,9,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,19,9,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,20,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,20,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,21,7,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,21,7,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,22,6,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
M3,22,6,Kayaşehir Merkez to Bakırköy Sahil,Weekday,No
M3,23,5,Bakırköy Sahil to Kayaşehir Merkez,Weekday,No
