Line,Station,Direction,transition_date,transition_hour,number_of_passenger,RemainingCapacity
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,3,0,454.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,3,17,459.72
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,3,69,447.18
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,3,260,385.4
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,3,29,146.21
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,3,39,190.65
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,3,19,281.86
M2,Levent,Yenikapı to Hacıosman,2024-09-01,3,20,352.02
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,3,0,389.61
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,3,2,409.5
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,3,0,423.01
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,3,0,435.55
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,3,1,445.33
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,3,0,451.95
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,3,3,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,6,132,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,6,28,348.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,6,15,349.04
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,6,0,362.85
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,6,64,388.62
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,6,81,344.73
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,6,0,293.49
M2,Levent,Hacıosman to Yenikapı,2024-09-01,6,551,334.52
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,6,169,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,6,726,47.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,6,184,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,6,348,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,6,121,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,6,57,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,6,0,48.6
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,6,594,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,6,594,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,6,0,0.0
M2,Haliç,Yenikapı to Hacıosman,2024-09-01,6,57,105.6
M2,Şişhane,Yenikapı to Hacıosman,2024-09-01,6,121,130.97
M2,Taksim,Yenikapı to Hacıosman,2024-09-01,6,348,86.76
M2,Osmanbey,Yenikapı to Hacıosman,2024-09-01,6,184,0.0
M2,Şişli-Mecidiyeköy,Yenikapı to Hacıosman,2024-09-01,6,726,0.0
M2,Gayrettepe,Yenikapı to Hacıosman,2024-09-01,6,169,0.0
M2,Levent,Yenikapı to Hacıosman,2024-09-01,6,551,47.0
M2,4.Levent,Yenikapı to Hacıosman,2024-09-01,6,0,0.0
M2,Sanayi Mahallesi,Yenikapı to Hacıosman,2024-09-01,6,81,105.6
M2,Seyrantepe,Yenikapı to Hacıosman,2024-09-01,6,64,106.97
M2,Ayazağa-İTÜ,Yenikapı to Hacıosman,2024-09-01,6,0,125.04
M2,Atatürk Oto Sanayi,Yenikapı to Hacıosman,2024-09-01,6,15,203.13
M2,Darüşşafaka,Yenikapı to Hacıosman,2024-09-01,6,28,249.04
M2,Hacıosman,Yenikapı to Hacıosman,2024-09-01,6,132,480.0
M2,Hacıosman,Hacıosman to Yenikapı,2024-09-01,7,197,480.0
M2,Darüşşafaka,Hacıosman to Yenikapı,2024-09-01,7,50,283.0
M2,Atatürk Oto Sanayi,Hacıosman to Yenikapı,2024-09-01,7,45,276.34
M2,Ayazağa-İTÜ,Hacıosman to Yenikapı,2024-09-01,7,0,276.15
M2,Seyrantepe,Hacıosman to Yenikapı,2024-09-01,7,80,320.99
M2,Sanayi Mahallesi,Hacıosman to Yenikapı,2024-09-01,7,106,275.97
M2,4.Levent,Hacıosman to Yenikapı,2024-09-01,7,0,214.86
M2,Levent,Hacıosman to Yenikapı,2024-09-01,7,709,273.19
M2,Gayrettepe,Hacıosman to Yenikapı,2024-09-01,7,297,0.0
M2,Şişli-Mecidiyeköy,Hacıosman to Yenikapı,2024-09-01,7,1050,0.0
M2,Osmanbey,Hacıosman to Yenikapı,2024-09-01,7,286,0.0
M2,Taksim,Hacıosman to Yenikapı,2024-09-01,7,380,0.0
M2,Şişhane,Hacıosman to Yenikapı,2024-09-01,7,192,0.0
M2,Haliç,Hacıosman to Yenikapı,2024-09-01,7,81,0.0
M2,Vezneciler-İstanbul Üniv.,Hacıosman to Yenikapı,2024-09-01,7,0,24.6
M2,Yenikapı,Hacıosman to Yenikapı,2024-09-01,7,935,480.0
M2,Yenikapı,Yenikapı to Hacıosman,2024-09-01,7,935,480.0
M2,Vezneciler-İstanbul Üniv.,Yenikapı to Hacıosman,2024-09-01,7,0,0.0
